Date,5JS.SI,AALI.JK,BWPT.JK,DBA,E5H.SI,EB5.SI,LSIP.JK,MOO,P8Z.SI,RJA,SIMP.JK,SMAR.JK,SSMS.JK,TBLA.JK,UNSP.JK
2015-01-02,0.6151858568191528,16904.5,397.0,21.180376052856445,0.3374943733215332,1.239169716835022,1323.0216064453125,41.82799530029297,0.5602839589118958,7.289999961853027,580.7422485351562,5272.6025390625,1274.3765869140625,429.71978759765625,500.0
2015-01-05,0.6067586541175842,16973.2890625,395.0,21.438255310058594,0.326489120721817,1.229203462600708,1340.3841552734375,41.03097152709961,0.5602839589118958,7.429999828338623,576.6810913085938,4565.3017578125,1289.457763671875,426.8356018066406,500.0
2015-01-06,0.6025449633598328,16715.33203125,390.0,21.584386825561523,0.3301575481891632,1.2258809804916382,1319.5491943359375,40.92735290527344,0.5602839589118958,7.430099964141846,568.5587158203125,4404.5517578125,1289.457763671875,423.9516296386719,500.0
2015-01-07,0.6025449633598328,16990.486328125,382.0,21.48123550415039,0.3338259756565094,1.2557803392410278,1329.966552734375,41.45339584350586,0.5521638989448547,7.389999866485596,564.4976806640625,4693.90185546875,1289.457763671875,421.0676574707031,500.0
2015-01-08,0.6362536549568176,17351.615234375,383.0,21.403871536254883,0.34116286039352417,1.308935284614563,1402.8890380859375,42.218544006347656,0.5629907250404358,7.369900226593018,588.8645629882812,4693.90185546875,1289.457763671875,426.8356018066406,500.0
2015-01-09,0.6362536549568176,17867.521484375,386.0,21.352296829223633,0.3374943733215332,1.308935284614563,1402.8890380859375,42.01131057739258,0.568403959274292,7.377999782562256,592.9255981445312,4790.3515625,1285.6875,429.71978759765625,500.0
2015-01-12,0.6236129403114319,17747.146484375,392.0,21.197566986083984,0.3374943733215332,1.2989689111709595,1392.4715576171875,41.97943115234375,0.5656973719596863,7.269999980926514,580.7422485351562,4629.60107421875,1281.917236328125,423.9516296386719,500.0
2015-01-13,0.6278265714645386,17815.931640625,385.0,20.99126625061035,0.3374943733215332,1.3022910356521606,1399.41650390625,41.76423263549805,0.5521638989448547,7.190000057220459,584.8033447265625,4372.40185546875,1281.917236328125,418.18353271484375,500.0
2015-01-14,0.6151858568191528,17128.0546875,376.0,20.9396915435791,0.3374943733215332,1.2956467866897583,1347.3291015625,41.81205368041992,0.5602839589118958,7.170000076293945,576.6810913085938,4436.7021484375,1278.146728515625,415.2995300292969,500.0
2015-01-15,0.61939936876297,17162.451171875,375.0,20.83654022216797,0.3228207528591156,1.2956467866897583,1368.1639404296875,41.79611587524414,0.568403959274292,7.119999885559082,580.7422485351562,4468.85205078125,1289.457763671875,415.2995300292969,500.0
2015-01-16,0.5941177606582642,17007.685546875,370.0,20.767772674560547,0.3228207528591156,1.2856799364089966,1329.966552734375,42.162750244140625,0.5440438985824585,7.159999847412109,576.6810913085938,4468.85205078125,1274.3765869140625,406.64752197265625,500.0
2015-01-20,0.5983312726020813,16852.91015625,360.0,20.613046646118164,0.319152295589447,1.2890022993087769,1329.966552734375,42.38591384887695,0.5575773119926453,7.099999904632568,568.5587158203125,4179.501953125,1274.3765869140625,406.64752197265625,500.0
2015-01-21,0.5899041891098022,16629.34765625,347.0,20.49270248413086,0.3118155002593994,1.2790356874465942,1323.0216064453125,42.65690231323242,0.5575773119926453,7.090000152587891,568.5587158203125,4372.40185546875,1289.457763671875,400.8794860839844,500.0
2015-01-22,0.6067586541175842,16508.9609375,337.0,20.398149490356445,0.30447864532470703,1.2723913192749023,1305.6590576171875,43.19888687133789,0.5602839589118958,7.050000190734863,572.6199951171875,4372.40185546875,1259.295166015625,400.8794860839844,500.0
2015-01-23,0.6151858568191528,16508.9609375,370.0,20.183250427246094,0.3154838979244232,1.2890022993087769,1295.2415771484375,42.680816650390625,0.5575773119926453,7.010000228881836,576.6810913085938,4227.72705078125,1270.606201171875,395.11138916015625,500.0
2015-01-26,0.6067586541175842,16182.234375,370.0,20.217632293701172,0.3154838979244232,1.2890022993087769,1260.5167236328125,42.88804626464844,0.5548704862594604,7.0,564.4976806640625,4372.40185546875,1266.8358154296875,395.11138916015625,500.0
